SSXL-ext LOC Summary Report
Generated (UTC): 2025-12-06 02:00:31
Generated (Epoch Seconds): 1764986432
Root Directories: .\rust, .\SSXL_engine_tester
Target Extensions: rs, toml, gd, gdc, md

------------------------------------------------------
 FILE LOC | Relative File Path
------------------------------------------------------
       21 LOC | rust\ssxl_animate\Cargo.toml
       79 LOC | rust\ssxl_animate\src\animation_logic.rs
      110 LOC | rust\ssxl_animate\src\conductor.rs
       78 LOC | rust\ssxl_animate\src\lib.rs
       89 LOC | rust\ssxl_animate\src\worker.rs
       16 LOC | rust\ssxl_cache\Cargo.toml
      167 LOC | rust\ssxl_cache\src\lib.rs
       31 LOC | rust\ssxl_cli\Cargo.toml
      143 LOC | rust\ssxl_cli\src\cli_util_bench.rs
      158 LOC | rust\ssxl_cli\src\cli_util_inspect.rs
      139 LOC | rust\ssxl_cli\src\cli_util_loc.rs
      190 LOC | rust\ssxl_cli\src\cli_util_menu.rs
      143 LOC | rust\ssxl_cli\src\main.rs
      165 LOC | rust\ssxl_cli\src\actions\actions.rs
       71 LOC | rust\ssxl_cli\src\actions\benchmarking.rs
      136 LOC | rust\ssxl_cli\src\actions\godot_harness.rs
       28 LOC | rust\ssxl_cli\src\actions\godot_tests.rs
       78 LOC | rust\ssxl_cli\src\actions\mod.rs
       52 LOC | rust\ssxl_cli\src\actions\testing.rs
      111 LOC | rust\ssxl_cli\src\actions\tests_core.rs
      234 LOC | rust\ssxl_cli\src\actions\test_core_suites.rs
      140 LOC | rust\ssxl_cli\src\actions\test_suites.rs
       64 LOC | rust\ssxl_config\src\config.rs
       39 LOC | rust\ssxl_config\src\engine.toml
       24 LOC | rust\ssxl_config\src\lib.rs
       17 LOC | rust\ssxl_engine_ffi\Cargo.toml
      200 LOC | rust\ssxl_engine_ffi\src\lib.rs
       25 LOC | rust\ssxl_generate\Cargo.toml
       99 LOC | rust\ssxl_generate\src\lib.rs
      175 LOC | rust\ssxl_generate\src\ca\cellular_automata_generator.rs
       41 LOC | rust\ssxl_generate\src\ca\mod.rs
       60 LOC | rust\ssxl_generate\src\ca\neighbor_check.rs
       78 LOC | rust\ssxl_generate\src\ca\rule_set.rs
      144 LOC | rust\ssxl_generate\src\conductor\builder.rs
      150 LOC | rust\ssxl_generate\src\conductor\conductor.rs
      134 LOC | rust\ssxl_generate\src\conductor\conductor_state.rs
       46 LOC | rust\ssxl_generate\src\conductor\internal_setup.rs
       33 LOC | rust\ssxl_generate\src\conductor\mod.rs
       54 LOC | rust\ssxl_generate\src\conductor\sync.rs
       87 LOC | rust\ssxl_generate\src\conductor\sync_get.rs
      122 LOC | rust\ssxl_generate\src\manager\config_validator.rs
       62 LOC | rust\ssxl_generate\src\manager\generator.rs
      136 LOC | rust\ssxl_generate\src\manager\generator_manager.rs
       33 LOC | rust\ssxl_generate\src\manager\mod.rs
       95 LOC | rust\ssxl_generate\src\manager\runtime_manager.rs
       27 LOC | rust\ssxl_generate\src\perlin\mod.rs
      151 LOC | rust\ssxl_generate\src\perlin\perlin_generator.rs
      112 LOC | rust\ssxl_generate\src\task\batch_processor.rs
       67 LOC | rust\ssxl_generate\src\task\benchmark_logic.rs
       32 LOC | rust\ssxl_generate\src\task\mod.rs
      191 LOC | rust\ssxl_generate\src\task\task_queue.rs
       30 LOC | rust\ssxl_godot\Cargo.toml
       59 LOC | rust\ssxl_godot\src\lib.rs
       74 LOC | rust\ssxl_godot\src\anim\animation_api.rs
      114 LOC | rust\ssxl_godot\src\engine\api.rs
       71 LOC | rust\ssxl_godot\src\engine\cleanup.rs
       78 LOC | rust\ssxl_godot\src\engine\commands.rs
      210 LOC | rust\ssxl_godot\src\engine\init.rs
       66 LOC | rust\ssxl_godot\src\engine\mod.rs
      132 LOC | rust\ssxl_godot\src\engine\poller.rs
       78 LOC | rust\ssxl_godot\src\engine\query.rs
       38 LOC | rust\ssxl_godot\src\engine\query_data.rs
      100 LOC | rust\ssxl_godot\src\engine\render_batch.rs
      149 LOC | rust\ssxl_godot\src\engine\state.rs
      134 LOC | rust\ssxl_godot\src\engine\tick.rs
      137 LOC | rust\ssxl_godot\src\engine\api_initializers\mod.rs
       63 LOC | rust\ssxl_godot\src\ffi\gde_api_defs.rs
       26 LOC | rust\ssxl_godot\src\ffi\mod.rs
      149 LOC | rust\ssxl_godot\src\ffi\oracle.rs
      100 LOC | rust\ssxl_godot\src\ffi\signals.rs
      144 LOC | rust\ssxl_godot\src\tilemap\async_poll.rs
       37 LOC | rust\ssxl_godot\src\tilemap\mod.rs
      201 LOC | rust\ssxl_godot\src\tilemap\ssxl_tilemap.rs
       99 LOC | rust\ssxl_godot\src\tilemap\status_reporter.rs
       16 LOC | rust\ssxl_math\Cargo.toml
      119 LOC | rust\ssxl_math\src\coordinate_system.rs
       65 LOC | rust\ssxl_math\src\generation_utils.rs
      110 LOC | rust\ssxl_math\src\hashing.rs
      104 LOC | rust\ssxl_math\src\lib.rs
       67 LOC | rust\ssxl_math\src\primitives.rs
       15 LOC | rust\ssxl_shared\cargo.toml
       67 LOC | rust\ssxl_shared\src\lib.rs
      223 LOC | rust\ssxl_shared\src\chunk\chunk_data.rs
      101 LOC | rust\ssxl_shared\src\chunk\grid_bounds.rs
       45 LOC | rust\ssxl_shared\src\chunk\mod.rs
      119 LOC | rust\ssxl_shared\src\config\config.rs
        2 LOC | rust\ssxl_shared\src\config\mod.rs
       60 LOC | rust\ssxl_shared\src\error\errors.rs
        2 LOC | rust\ssxl_shared\src\error\mod.rs
       40 LOC | rust\ssxl_shared\src\job\mod.rs
       41 LOC | rust\ssxl_shared\src\math\math_primitives.rs
        2 LOC | rust\ssxl_shared\src\math\mod.rs
       37 LOC | rust\ssxl_shared\src\message\generation_message.rs
       60 LOC | rust\ssxl_shared\src\message\messages.rs
       15 LOC | rust\ssxl_shared\src\message\mod.rs
        3 LOC | rust\ssxl_shared\src\tile\mod.rs
      108 LOC | rust\ssxl_shared\src\tile\tile_data.rs
      114 LOC | rust\ssxl_shared\src\tile\tile_type.rs
       24 LOC | rust\ssxl_sync\Cargo.toml
       89 LOC | rust\ssxl_sync\src\animation_conductor.rs
       41 LOC | rust\ssxl_sync\src\lib.rs
      151 LOC | rust\ssxl_sync\src\pool.rs
       41 LOC | rust\ssxl_sync\src\primitives.rs
       11 LOC | rust\ssxl_tools\Cargo.toml
       86 LOC | rust\ssxl_tools\src\lib.rs
      157 LOC | rust\SSXL_noob_survival_guide.gd
       21 LOC | SSXL_engine_tester\addons\S2O_godot_plugin\Aetherion.gd
       31 LOC | SSXL_engine_tester\addons\S2O_godot_plugin\S2O_plugin.gd
       21 LOC | SSXL_engine_tester\addons\S2O_godot_plugin\SSXL.gd
      121 LOC | SSXL_engine_tester\root_scripts\cameras.gd
        1 LOC | SSXL_engine_tester\root_scripts\camera_2.gd
       73 LOC | SSXL_engine_tester\root_scripts\controlpanelanimation.gd
      108 LOC | SSXL_engine_tester\root_scripts\controlpanelgenlogic.gd
       80 LOC | SSXL_engine_tester\root_scripts\controlpanelsignalhandler.gd
       96 LOC | SSXL_engine_tester\root_scripts\controlpaneluisetup.gd
      170 LOC | SSXL_engine_tester\root_scripts\controlpanelutility.gd
      110 LOC | SSXL_engine_tester\root_scripts\control_panel.gd
       37 LOC | SSXL_engine_tester\root_scripts\init.gd
        1 LOC | SSXL_engine_tester\root_scripts\logger.gd
      104 LOC | SSXL_engine_tester\root_scripts\main.gd
       24 LOC | SSXL_engine_tester\root_scripts\root.gd
       28 LOC | SSXL_engine_tester\root_scripts\scenescanner.gd
       17 LOC | SSXL_engine_tester\root_scripts\ssxl_signals.gd
